Investor,Participations,Capital_USD_M
U.S. Department of Energy,556,1651.71
Plug and Play Tech Center,524,2941.7799999999997
Innovate UK,519,641.74
US National Science Foundation,431,238.35
SOSV,292,2718.11
Techstars,273,452.88
European Innovation Council,261,2042.85
InnoEnergy,220,6798.070000000001
MassChallenge,191,4.57
Creative Destruction Lab,188,32.36
Y Combinator,169,693.3
Horizon 2020,142,179.63
EIT Food,136,62.94
Third Derivative,135,68.1
Google Accelerator,118,2.12
Bpifrance,112,3168.72
VentureWell,111,2.5
IndieBio,105,715.74
Alumni Ventures,103,2344.45
Antler,95,92.18
United States Department of Agriculture,95,113.08
Remove,95,11.3
Tech Incubator Program for Startup,93,12.02
Collaborative Fund,93,3871.17
Free Electrons,93,4.89
Leading Cities,87,0.13
Enterprise Ireland,87,194.73
Artesian,85,238.11
MCJ,82,2292.21
Big Idea Ventures,82,152.73
