Investor,Participations,Capital_USD_M
Climate Capital,246,2860.22
Cleantech Open,187,3.0300000000000002
Breakthrough Energy,183,12270.18
EIT Climate-KIC,154,94.61
Lowercarbon Capital,152,7276.24
Greentown Labs,144,297.98
Impact Assets,120,2644.56
Sustainable Development Technology Canada,115,351.07
Energy Impact Partners,112,5332.89
Elemental Impact,92,1455.1499999999999
For ClimateTech,79,1.6199999999999999
Unreasonable Impact,76,1281.56
Massachusetts Clean Energy Center,72,134.9
Los Angeles Cleantech Incubator,66,86.19
Congruent Ventures,62,2745.41
Blue Horizon Corporation,57,653.04
Neglected Climate Opportunities,55,1093.92
Carbon13,46,16.22
Demea Sustainable Investment,41,2244.19
Clean Energy Finance Corporation,38,688.08
Microsoft Climate Fund,35,4581.96
Sustainable Ocean Alliance,35,81.59
Sustainable Food Ventures,34,59.51
Green Angel Ventures,34,95.23
Active Impact Investments,34,264.57
The Climate Pledge Fund,33,2906.07
Clean Energy Venture Group,33,210.62
Sustainable Ventures,32,25.07
Clean Energy Ventures,31,283.65
VoLo Earth Ventures,31,254.44
